"id","betfair_id"
"E14000955","1.164429791"
"E14000956","1.164429816"
"E14000957","1.164429829"
"E14000958","1.164429873"
"E14000959","1.164429874"
"E14000960","1.164387683"
"E14000961","1.164429887"
"E14000962","1.164429888"
"E14000963","1.164429889"
"E14000964","1.164429890"
"E14000965","1.164429920"
"E14000966","1.164429921"
"E14000967","1.164429922"
"E14000968","1.164429955"
"E14000969","1.164429957"
"E14000970","1.164429983"
"E14000971","1.164430075"
"E14000972","1.164381418"
"E14000973","1.164430076"
"E14000974","1.164430079"
"E14000975","1.164430176"
"E14000976","1.164430181"
"E14000977","1.164430219"
"E14000978","1.164430267"
"E14000979","1.164430317"
"E14000980","1.164430451"
"E14000981","1.164430624"
"E14000982","1.164430628"
"E14000983","1.164430646"
"E14000984","1.164430651"
"E14000985","1.164430659"
"E14000986","1.164430660"
"E14000987","1.164430691"
"E14000988","1.164430693"
"E14000989","1.164430694"
"E14000990","1.164430695"
"E14000991","1.164430712"
"E14000992","1.164430714"
"E14000993","1.164430715"
"E14000994","1.164430744"
"E14000995","1.164430745"
"E14000996","1.164430747"
"E14000997","1.164430751"
"E14000998","1.164430752"
"E14000999","1.164430754"
"E14001000","1.164430756"
"E14001001","1.164430757"
"E14001002","1.164430765"
"E14001003","1.164430768"
"E14001004","1.164430822"
"E14001005","1.164430824"
"E14001006","1.164430837"
"E14001007","1.164381130"
"E14001008","1.164430864"
"E14001009","1.164381416"
"E14001010","1.164430865"
"E14001011","1.164430866"
"E14001012","1.164430868"
"E14001013","1.164430869"
"E14001014","1.164430870"
"E14001015","1.164430871"
"E14001016","1.164430873"
"E14001017","1.164430876"
"E14001018","1.164430877"
"E14001019","1.164430881"
"E14001020","1.164430886"
"E14001021","1.164381129"
"E14001022","1.164430890"
"E14001023","1.164431017"
"E14001024","1.164431051"
"E14001025","1.164431306"
"E14001026","1.164431307"
"E14001027","1.164431309"
"E14001028","1.164431311"
"E14001029","1.164381134"
"E14001030","1.164431315"
"E14001031","1.164431317"
"E14001032","1.164431318"
"E14001033","1.164431319"
"E14001034","1.164431320"
"E14001035","1.164431322"
"E14001036","1.164431323"
"E14001037","1.164431324"
"E14001038","1.164431325"
"E14001039","1.164431326"
"E14001040","1.164431327"
"E14001041","1.164387572"
"E14001042","1.164431329"
"E14001043","1.164431330"
"E14001044","1.164431365"
"E14001045","1.164431400"
"E14001046","1.164431401"
"E14001047","1.164431403"
"E14001048","1.164431404"
"E14001049","1.164431405"
"E14001050","1.164431433"
"E14001051","1.164431452"
"E14001052","1.164431470"
"E14001053","1.164431472"
"E14001054","1.164431473"
"E14001055","1.164431474"
"E14001056","1.164431876"
"E14001057","1.164431879"
"E14001058","1.164431881"
"E14001059","1.164431882"
"E14001060","1.164431891"
"E14001061","1.164431892"
"E14001062","1.164431894"
"N06000001","1.164786701"
"N06000002","1.164786710"
"N06000003","1.164786717"
"N06000004","1.164786746"
"N06000005","1.164786747"
"N06000006","1.164786751"
"N06000007","1.164786754"
"N06000008","1.164787172"
"N06000009","1.164787173"
"N06000010","1.164787176"
"N06000011","1.164787177"
"N06000012","1.164787287"
"N06000013","1.164787290"
"N06000014","1.164787319"
"N06000015","1.164787320"
"N06000016","1.164787321"
"N06000017","1.164787322"
"N06000018","1.164787323"
"S14000001","1.164617010"
"S14000002","1.164784270"
"S14000003","1.164617906"
"S14000004","1.164784327"
"S14000005","1.164617911"
"S14000006","1.164784328"
"S14000007","1.165270051"
"S14000008","1.164784329"
"S14000009","1.164784330"
"S14000010","1.164617915"
"S14000011","1.164784332"
"S14000012","1.164617952"
"S14000013","1.164784335"
"S14000014","1.164784337"
"S14000015","1.164617954"
"S14000016","1.164617956"
"S14000017","1.164617960"
"S14000018","1.164784339"
"S14000019","1.164618057"
"S14000020","1.164784341"
"S14000021","1.164784361"
"S14000022","1.164618062"
"S14000023","1.164618097"
"S14000024","1.164784383"
"S14000025","1.165504202"
"S14000026","1.164784387"
"S14000027","1.164784585"
"S14000028","1.164784389"
"S14000029","1.165270052"
"S14000030","1.164784391"
"S14000031","1.164784459"
"S14000032","1.164784460"
"S14000033","1.165270053"
"S14000034","1.164784462"
"S14000035","1.164784463"
"S14000036","1.164784464"
"S14000037","1.164784465"
"S14000038","1.164784487"
